Sr No.,Utterance,Speaker,Sentiment,Dialogue_ID,Utterance_ID,Season,Episode,StartTime,EndTime
2537,"Uh, how is he at handling small objects?",Dr. Baldhara,neutral,252,8,1,21,"00:14:37,418","00:14:40,461"
2550,Really helped speed the process along!,Chandler,positive,253,1,9,21,"00:17:35,888","00:17:38,014"
2552,You're not... gone?,Chandler,positive,253,3,9,21,"0:17:42,061","0:17:43,811"
2554,Sid is still in his room.,Janice,neutral,253,4,9,21,"00:17:44,938","00:17:46,230"
2555,I don't allow porn at home so    this is like a vacation for him.,Janice,positive,253,5,9,21,"00:17:46,398","00:17:50,777"
2568,Oh yeah.,Phoebe,negative,254,6,9,17,"0:10:06,358","0:10:07,182"
2597,"Oh Phoebe, that’s a great story.",Rachel,neutral,256,9,8,22,"0:02:12,453","0:02:13,955"
2612,Oh-hey-hey-hey! There you are!,Chandler,positive,258,0,5,3,"00:07:17,311","00:07:18,854"
2633,"Uh, Pheebs, some people call that breaking and entering.",Ross,negative,260,10,3,25,"00:14:44,675","00:14:47,927"
2637,"Wait-wait-wait, wait! Puppies. Cute or ugly?",Phoebe,neutral,261,2,4,1,"00:19:10,232","00:19:12,108"
2640,I know. I’m mad at me too.,Phoebe Sr.,negative,261,5,4,1,"00:19:20,242","00:19:24,579"
2661,Unagi. I’m always aware.,Ross,neutral,264,3,6,17,"00:09:37,660","00:09:41,705"
2669,"Uh, it’s an exact replica of Apollo 8.",Ross,neutral,264,11,6,17,"0:09:59,890","0:10:02,018"
2671,"Yeah, I guess I could use that. I could say that your love sends me to the moon.",Chandler,neutral,264,13,6,17,"00:10:04,645","00:10:08,273"
2675,Why not?,Ross,neutral,264,17,6,17,"00:10:21,245","00:10:24,205"
2709,"Y’know what? I’m not talking to you! You go back to sleep!  And you, are you a rapist?!",Phoebe,negative,272,2,6,1,"00:14:40,087","00:14:45,592"
2714,"Ooh, I’ll play! I’ll play!",Joey,positive,272,7,6,1,"00:14:52,057","00:14:54,017"
2717,I can’t figure this out!,Chandler,negative,273,1,6,23,"0:00:05,380","0:00:06,465"
2722,"No, I don’t want to tell anybody else because I don’t want Monica to find out.",Chandler,neutral,273,6,6,23,"00:00:15,515","00:00:18,517"
2729,"Hey! So Chandler, wanna go to the coffeehouse?",Phoebe,positive,273,13,6,23,"0:00:36,494","0:00:39,122"
2740,"Just a sec, give me a minute to wake up for this—Ah-ha-ha!!",Chandler,neutral,274,4,4,22,"0:10:16,170","0:10:24,756"
2745,"I go to bed last night, everything’s cool!",Joey,positive,274,9,4,22,"00:10:28,210","00:10:30,170"
2762,What? What secrets? You know secrets? What are they?,Rachel,positive,275,13,5,11,"00:15:36,226","00:15:37,769"
2772,"Oh, I know what I wanted to ask you. You were on the show years ago and then they killed you off. What happened there?",The Interviewer,neutral,277,2,8,19,"00:11:05,499","00:11:11,880"
2786,"Whoa-whoa, Treeger made you cry?",Joey,negative,279,0,4,4,"00:02:51,880","00:02:54,715"
2805,"Pheebs, I don’t think anyone's mad about that.",Rachel,neutral,280,0,5,12,"0:02:17,929","0:02:19,389"
2811,Yeah!,Phoebe,neutral,281,3,7,22,"00:08:03,733","00:08:05,233"
2832,"Hey uh, is it okay to come in?",Joey,neutral,285,0,9,1,"00:08:07,361","00:08:10,071"
2835,Hey!,Rachel,positive,285,3,9,1,"00:08:20,124","00:08:21,208"
2865,"Yes! Way to go, man!  Still got the egg, huh?",Chandler,positive,287,12,1,14,"00:03:00,555","00:03:06,143"
2878,"I mean, wow!",Ross,positive,288,12,6,13,"0:16:05,456","0:16:06,890"
2879,"I mean, I-I-I think she’s cute but I-I would never have thought of going out with her, never!",Ross,neutral,288,13,6,13,"00:16:08,842","00:16:15,098"
2896,I work in a cubicle surrounded by people.,Earl,neutral,292,0,7,13,"00:10:10,693","00:10:14,154"
2907,"Apparently, there’s like a million guys out there that can play Mac, and there’s only this one robot and this one guy who controls it!",Joey,negative,293,0,6,21,"00:12:47,808","00:12:55,857"
2917,"So do you think uh, Joey’s more charming than me?",Chandler,neutral,293,9,6,21,"00:13:25,054","00:13:27,639"
2937,"Okay, whatever.",Phoebe,positive,295,14,7,11,"0:14:27,366","0:14:28,708"
2938,Y’know what?,Phoebe,neutral,295,15,7,11,"0:14:28,708","0:14:28,967"
2946,Hi.,Susan,neutral,296,1,1,2,"00:14:42,631","00:14:44,173"
2947,"Ross, you remember Susan.",Carol,neutral,296,2,1,2,"0:14:44,758","0:14:46,690"
2976,All right.,Monica,neutral,297,9,4,20,"00:09:12,802","00:09:13,969"
2994,"Look, look at your man, Ewing. Nice shot. You know what, he couldn't hit water if he was standing on a boat.",Lydia,negative,300,5,1,23,"00:03:50,480","00:03:56,443"
3016,Yeah... I'm pretty sure I'm still gonna marry him.,Mindy,positive,301,11,1,20,"00:20:03,744","00:20:07,622"
3036,Have you seen Joey?,Chandler,neutral,304,1,3,5,"0:11:19,428","0:11:20,304"
3042,Yo!! Spackel boy! Get up!,Chandler,neutral,304,7,3,5,"00:11:43,244","00:11:49,624"
3047,Can I help you?,Issac,neutral,305,1,3,15,"00:02:39,826","00:02:40,868"
3049,"Uh, y'know what, we’re having second thoughts about our copying needs. And we’ll need a little more time to think about it.",Joey,neutral,305,3,3,15,"00:02:44,622","00:02:54,756"
3071,Because! You could get to live out my fantasy!,Monica,positive,307,1,4,17,"00:04:08,831","00:04:12,542"
3078,"We said it was only going to be two weeks, y’know?",Ross,neutral,307,7,4,17,"00:04:39,362","00:04:42,364"
3094,Okay.,Chandler,neutral,309,4,4,5,"0:12:34,555","0:12:37,055"
3095,"Oh, hey, Mon, do you still have your like old blouses and dresses from high school?",Phoebe,neutral,310,0,4,13,"00:02:02,455","00:02:06,375"
3099,Bloomingdale’s,Rachel,neutral,310,4,4,13,"00:02:23,059","00:02:25,394"
3109,"All right, umm, we’re not gonna really keep it this way though.",Monica,positive,311,7,4,9,"0:00:30,113","0:00:33,005"
3110,No?,Rachel,negative,311,8,4,9,"0:00:33,005","0:00:33,762"
3112,Oh!,Rachel,positive,311,10,4,9,"00:00:37,078","00:00:38,746"
3113,"And also, we don’t know what to do with this.",Phoebe,neutral,311,11,4,9,"00:00:38,913","00:00:42,166"
3124,Noo!,Rachel,negative,312,9,3,25,"0:16:50,217","0:16:50,301"
3149,"Oh no! No God, definitely not jealous!",Phoebe,neutral,314,7,6,25,"00:02:52,172","00:02:56,008"
3157,"Well, I’m gonna fill in for him as food critic for the Chelsea Reporter.",Monica,positive,315,2,4,9,"00:01:44,145","00:01:47,606"
3200,"Well ah, I’ve been doing a lot of thinking, and I look at my life",Pete,neutral,319,4,3,23,"00:17:53,489","00:17:59,494"
3201,Yeah?,Monica,neutral,319,5,3,23,"00:17:57,951","00:17:59,494"
3231,Or at least not to me.,Chandler,neutral,320,10,6,16,"00:20:30,562","00:20:34,732"
3238,Oh yeah.,Chandler,positive,320,17,6,16,"0:21:13,413","0:21:14,399"
3247,We didn’t have sex.,Phoebe,positive,321,8,8,7,"00:16:47,506","00:16:48,881"
3252,"Either that or she’s just the best, most expensive date I ever had.",Stu,negative,322,1,8,8,"00:14:22,820","00:14:26,531"
3265,Oh!,Rachel,positive,326,1,8,1,"00:20:58,298","00:20:59,590"
3279,"We were playing chess, you said I was boring, and then you took off your energy mask and you were Cameron Diaz!",Phoebe,negative,327,6,5,22,"00:18:37,783","00:18:41,744"
3284,"Yeah, I got that.",Rachel,neutral,328,3,6,14,"00:21:28,161","00:21:29,328"
3320,Shh.,Joey,neutral,332,2,8,1,"0:21:46,389","0:21:48,183"
3330,No!,Ross,negative,332,12,8,1,"0:22:06,089","0:22:07,132"
3345,"Oh no it’s fine, don’t worry about it.",Kathy,neutral,334,5,4,7,"00:10:11,736","00:10:14,613"
3352,Oh.,Chandler,neutral,334,11,4,7,"00:10:42,058","00:10:43,475"
3353,"No, I really did forget my purse.",Kathy,neutral,334,12,4,7,"00:10:49,899","00:10:52,567"
3369,"Mon, look at yourself. You have cookie on your neck.",Ross,negative,336,10,3,10,"00:12:45,222","00:12:47,724"
3374,"Okay, the other night I was leaving the museum just as ‘Laser Floyd’ was letting out of the planetarium, without even trying I sold 50 boxes!",Ross,positive,336,15,3,10,"00:12:59,987","00:13:09,788"
3378,"Okay, stop what you’re doing, I need envelope stuffers, I need stamp lickers.....",Rachel,neutral,336,19,3,10,"00:13:30,434","00:13:34,687"
3385,Yeah but you don’t need——What is this?,Chandler,positive,337,3,8,2,"00:03:02,348","00:03:11,106"
3409,"See, see, okay, I work in fashion, see and-and, this is a real dress actually.",Rachel,neutral,338,5,4,18,"00:15:59,041","00:16:04,921"
3418,So… We go eat.,Mr. Burgin,neutral,338,14,4,18,"00:16:48,757","00:16:51,384"
3449,"Hello?  Oh, hi Ross!  See? Other people call me!",Monica,negative,343,0,6,6,"00:09:32,822","00:09:35,657"
3460,It worked!,Joey,positive,344,10,5,17,"0:02:51,838","0:02:52,673"
3480,Really?!,Monica,positive,347,2,4,1,"00:04:36,359","00:04:39,278"
3486,"Whoa, wait, Pheebs, wait a second! Don’t you wanna stay here and talk about it?",Joey,positive,347,8,4,1,"00:05:01,009","00:05:05,387"
3513,"Well, if you wanna get a drink later we can.",Monica,neutral,350,5,3,6,"00:19:23,078","00:19:25,454"
3526,Hey! I offered to marry her!,Ross,negative,351,10,8,8,"0:12:04,598","0:12:06,480"
3543,Thank you. I'm going to rejoin my dinner party.,Mr. Heckles,neutral,354,2,2,3,"00:02:34,445","00:02:38,448"
3546,We'll give you Janice.,Ross,neutral,354,5,2,3,"00:02:43,955","00:02:46,832"
3549,"""Oh, Chandler, now, now, that's it. There, faster!""",Joey,positive,354,8,2,3,"00:03:00,680","00:03:08,729"
3552,Mr. Heckles.,Monica,neutral,354,11,2,3,"00:03:36,633","00:03:38,091"
3560,Where's Chandler?,Rachel,neutral,355,1,1,5,"0:22:25,177","0:22:26,149"
3572,Did you tell the doctor you did it jumping up and down on your bed?,Rachel,neutral,356,8,3,3,"00:01:33,176","00:01:36,095"
3586,This will just be my batch.,Joey,neutral,356,22,3,3,"00:02:25,395","00:02:27,396"
3588,Why? Do you think he’s still mad at us?,Monica,negative,357,1,3,17,"00:08:02,064","00:08:03,273"
3601,"Because, every time I go to the dentist, somebody dies.",Phoebe,negative,358,9,3,8,"00:00:31,448","00:00:36,368"
3622,"Yeah, I mean, it would be rude to them  for us to leave now.",Chandler,neutral,360,4,2,5,"00:17:46,940","00:17:49,776"
3625,"Three of your five, what?",Rachel,neutral,361,1,3,5,"0:08:20,181","0:08:21,731"
3636,So?,Rachel,neutral,361,12,3,5,"00:09:02,500","00:09:03,500"
3661,Uh... I don't know.,Rachel,neutral,365,9,1,24,"00:12:25,494","00:12:27,871"
3665,": Toby... Oh, for God's sake, I don't know what she's talking about!",Man,negative,365,13,1,24,"00:12:39,216","00:12:45,045"
3686,"Oh, I'd like that.",Phoebe,neutral,366,18,1,5,"00:20:37,611","00:20:38,736"
3693,Not 700 exactly?,Chandler,positive,367,6,6,6,"0:13:58,638","0:14:00,138"
3701,"Now that one card could be worth $100 bringing your total to 1,500.",Chandler,neutral,367,14,6,6,"00:14:18,357","00:14:22,861"
3714,Sperm or regular?,Joey,neutral,371,4,3,3,"0:19:39,178","0:19:41,055"
3718,Sounds nice.,Joey,neutral,371,8,3,3,"00:19:50,022","00:19:51,147"
3743,I can’t believe we’re here.,Monica,positive,374,0,8,3,"0:15:21,629","0:15:23,173"
3748,Who are you?,Man,negative,374,5,8,3,"0:15:36,685","0:15:37,520"
3764,I did not mean to touch that—I mean,Rachel,negative,375,4,5,17,"00:18:01,080","00:18:04,665"
3766,Hey!,Phoebe,positive,376,1,7,22,"0:15:46,445","0:15:47,710"
3773,"Yeah, it’s the new building on Avenue A.",Student,neutral,377,3,8,12,"00:05:55,355","00:05:57,689"
3778,"Yeah, come on in.",Jason,neutral,378,1,3,23,"0:15:23,006","0:15:25,220"
3781,I can’t do this.,Rachel,negative,379,1,3,19,"00:15:00,816","00:15:01,858"
3794,That’s okay.,Mark,neutral,380,3,6,10,"00:15:38,020","00:15:39,479"
3807,"When my sisters were pregnant they got every weird feeling in the book, it was always nothing.",Joey,neutral,383,5,8,14,"00:09:54,240","00:09:59,840"
3819,"We have. Maybe we’ll be seeing each other at dinner tomorrow night, say around 8 o’clock?",Jim,neutral,384,3,8,17,"00:10:16,949","00:10:21,369"
3820,"Well, maybe we will.  Oh!",Phoebe,positive,384,4,8,17,"00:10:22,830","00:10:27,626"
3839,I highly doubt that.,Monica,negative,388,5,3,5,"00:06:04,197","00:06:07,491"
3842,Relax. Here hold this . This old stuff just comes right off.,Joey,neutral,388,8,3,5,"00:06:18,878","00:06:23,632"
3860,Pheebs...,Rachel,neutral,389,9,4,2,"0:12:38,424","0:12:39,026"
3862,All right!!,Rachel,positive,389,11,4,2,"0:12:41,427","0:12:43,449"
3893,I’ve had better.,Ross,neutral,395,1,7,6,"00:08:58,037","00:08:59,871"
3897,I’ve said it! Okay?! But it’s over Joey!,Ross,negative,395,5,7,6,"00:09:08,130","00:09:11,925"
3910,"Pheebs, if I had never met him this never would have happened!",Rachel,neutral,398,5,1,12,"00:15:28,302","00:15:29,719"
3925,"Oh, God...",Rachel,positive,400,5,1,12,"00:16:16,809","00:16:18,935"
3930,"It has umm, three beautiful bedrooms and ah, no baths.",Phoebe Sr,neutral,401,1,3,25,"00:05:06,347","00:05:10,142"
3952,"Look, forget about it, okay?",Joey,negative,404,7,6,12,"0:03:00,139","0:03:01,613"
3958,All right?,Joey,neutral,404,13,6,12,"0:03:09,564","0:03:10,065"
3983,Come on man! You've been here all day!,Joey,negative,407,7,5,4,"0:14:19,358","0:14:21,194"
3984,"Yeah, I-I'm taking pledges here, eh?",PBS Volunteer,neutral,407,8,5,4,"0:14:21,194","0:14:22,509"
3986,Welcome back to our fall telethon. Now if you've been enjoying the performance of,Gary Collins,neutral,407,10,5,4,"00:14:25,906","00:14:30,910"
3988,Yeah.,Phoebe,neutral,408,1,8,11,"0:01:06,828","0:01:09,041"
4005,I can't believe you'd rather go out with him than me.,Ross,positive,410,1,1,24,"00:19:02,391","00:19:06,602"
4009,So I'm thinking about you. So what?,Rachel,neutral,410,5,1,24,"00:19:19,241","00:19:21,534"
4015,"No, no, no... why, because it might get weird for everyone else?",Ross,neutral,410,11,1,24,"00:19:41,430","00:19:43,347"
4034,"Stunning entertainment center. Fine,  fine Italian craftsmanship.",Chandler,neutral,412,6,4,2,"00:04:28,309","00:04:35,524"
4076,No it's not. It's small. It's tiny. It's petite. It's wee.,Chandler,neutral,416,2,1,24,"00:10:09,859","00:10:14,321"
4079,More than jewelry.,Rachel,neutral,417,0,2,4,"00:09:34,615","00:09:36,324"
4085,"That was a test. Good response. All right, full name.",Joey,neutral,418,5,8,23,"00:17:50,891","00:17:58,732"
4086,Clifford Burnett.,Man,neutral,418,6,8,23,"00:17:55,437","00:17:58,732"
4087,Date of birth?,Joey,neutral,418,7,8,23,"0:17:58,899","0:18:00,151"
4088,November 16,Cliff,neutral,418,8,8,23,"0:18:00,151","0:18:02,312"
4105,"Pheebs, that’s great!",Rachel,positive,420,1,4,10,"0:06:54,789","0:06:56,124"
4119,"I uh, I just came by because I-I want to talk to you about something.",Joey,negative,421,7,8,16,"00:13:22,176","00:13:26,554"
4161,"Oh, I mean she’s gonna be at the wedding waiting for him and people will be whispering, ""Oh that poor girl.""",Rachel,neutral,425,1,7,23,"00:20:46,662","00:20:52,625"
4171,Okay?,Phoebe,neutral,426,4,8,11,"0:21:33,083","0:21:33,725"
4180,"All right ladies, here’s what we’re gonna do.",Chandler,neutral,428,0,4,14,"00:21:16,358","00:21:18,609"
4181,"I-I wanna be with her,  I like her.",Phoebe,negative,428,1,4,14,"00:21:29,246","00:21:31,247"
4184,"Come on! Would you please pay attention, I could wake up at any moment!",Chandler,negative,428,4,4,14,"00:21:36,211","00:21:39,088"
4212,Yeah?,Phoebe,neutral,431,2,5,2,"0:14:22,904","0:14:23,438"
4220,That's not a trip!,Phoebe,negative,431,10,5,2,"0:14:54,268","0:14:55,728"
4223,"""Well, it's right by my house, all right!""",Phoebe,negative,431,13,5,2,"00:14:59,982","00:15:02,901"
4239,Just wait.,Ross,neutral,434,5,8,5,"00:19:59,489","00:20:02,366"
4249,Hi,Mrs. Geller,neutral,435,0,8,18,"00:05:06,627","00:05:09,922"
4251,"This is such a great party! 35 years. Very impressive, do you guys have any pearls of wisdom?",Rachel,positive,435,2,8,18,"00:05:10,089","00:05:18,806"
4266,Hey!,Chandler,negative,437,0,8,19,"00:06:34,061","00:06:36,397"
4284,"Did you like her? And I’m just asking as a friend, because I am totally fine with this.",Monica,neutral,438,14,3,13,"00:19:43,932","00:19:50,771"
4289,"Oh, this will be so much fun!",Phoebe,positive,439,3,3,5,"0:13:21,342","0:13:22,764"
4298,"Ok, yeah, ok.  Oh, OK.",Phoebe,neutral,440,5,1,14,"00:13:12,500","00:13:15,210"
4304,Eww!,Rachel and Phoebe,negative,440,11,1,14,"0:13:35,981","0:13:37,458"
4316,No-no that’s a man’s shirt.,Mona,neutral,441,8,8,17,"0:11:31,524","0:11:33,026"
4320,It's a kitchen slash bathroom.,Chandler,neutral,442,2,5,7,"00:14:12,726","00:14:15,311"
4332,"Um, Rachel I’m really sorry.  That’s okay, do you wanna get back together?  Yeah, okay.  Did anyone else hear that?!",Phoebe,positive,443,7,3,17,"00:02:09,754","00:02:17,886"
4348,What is it sweetie?,Dr. Green,positive,445,8,8,8,"00:08:33,846","00:08:37,724"
4351,I’m sorry daddy.,Rachel,negative,445,10,8,8,"0:08:42,522","0:08:43,794"
4368,"Oh, oh, I got it! Pete-Chicago.",Joey,neutral,446,5,3,19,"00:10:03,436","00:10:06,688"
4410,Oh God you’re right.,Ross,positive,449,11,8,17,"00:21:22,281","00:21:24,115"
4425,Oh my God.,Rachel,positive,450,12,3,23,"00:14:20,985","00:14:22,777"
4429,"No, that was my way of telling you.",Phoebe,neutral,450,16,3,23,"00:14:39,128","00:14:41,045"
4431,He even showed me charcoal drawings that he drew of me.,Phoebe,neutral,450,18,3,23,"00:14:47,219","00:14:49,429"
4434,"So then, are you going to dump Jason?",Monica,neutral,450,21,3,23,"00:14:57,813","00:14:59,355"
4441,I can't just walk away! I've put in four hours!,Monica,negative,451,4,9,23,"00:44:20,366","00:44:23,159"
4450,Really?! How come we didn’t cross paths?,Rachel,positive,452,3,8,12,"00:16:05,506","00:16:08,049"
4476,"Chandler, I found the perfect ring.",Phoebe,positive,456,0,6,23,"00:13:05,201","00:13:07,327"
4495,"When I went there on what would have been our honeymoon, it was, uh... it was really nice.",Barry,negative,457,7,1,20,"00:07:07,969","00:07:14,266"
4507,So were done then!,Rachel,negative,459,3,5,22,"0:07:18,062","0:07:18,774"
4518,"No, we can go together! Just don’t wait too long though, okay? ‘Cause I’m outta here sometime before Friday.",Phoebe,neutral,460,1,6,1,"00:13:46,242","00:13:52,038"
4536,Power saw kinda got away from me there.,Joey,neutral,462,10,3,5,"00:00:58,016","00:01:00,809"
4565,"That’s funny, yeah!",Rachel,positive,464,14,7,14,"0:11:43,755","0:11:43,920"
4574,Joey!! What the hell were you doing?!,Monica,negative,465,2,1,13,"00:22:14,374","00:22:16,751"
4585,"Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight.",Chandler,positive,466,6,1,4,"00:20:25,641","00:20:34,398"
4611,"No, I don’t think we’ll be doing that.",Rachel,negative,471,0,8,23,"0:06:24,413","0:06:25,845"
4614,Am I interrupting?,Mrs. Geller,neutral,471,3,8,23,"0:06:32,547","0:06:34,099"
4622,I already fed her.,Rachel,neutral,473,1,9,2,"0:11:24,899","0:11:26,609"
4639,And it kinda works out for the best.,Monica,positive,474,12,7,19,"0:19:41,972","0:19:43,854"
4640,"What do you, what do you mean?",Rachel,positive,474,13,7,19,"0:19:43,854","0:19:45,536"
4643,Surprise,Rachel,negative,474,16,7,19,"0:20:01,116","0:20:02,668"
4646,"I can't believe it's raining again! Oh, it's so unfair!!!",Monica,negative,475,0,9,23,"00:31:14,998","00:31:18,083"
4659,And...?,Chandler,negative,475,13,9,23,"0:32:00,752","0:32:01,644"
4663,"Sorry I ah, I scared you in there.",Ross,negative,476,0,3,20,"00:19:07,312","00:19:09,438"
4667,I tried to reach you at work. There’s....been a fire.,Monica,negative,476,4,3,20,"00:19:21,201","00:19:25,538"
4673,"No Phoebe, don’t look! You don’t want to see what’s under there!!",Ross,negative,476,10,3,20,"00:19:46,727","00:19:48,769"
4686,"Yeah, y'know what, there are other fish in the sea.",Phoebe,neutral,477,8,3,24,"00:14:39,420","00:14:41,296"
4694,"Okay, I had to put on lotion!",Chandler,neutral,477,16,3,24,"00:15:04,820","00:15:06,446"
4706,Well that’s a little crazy. Although I am y’know glad to hear that you’re branching out on what you look at on the Internet.,Monica,neutral,478,8,6,24,"00:20:01,074","00:20:07,038"
4714,My friend’s name is Joey.,Chandler,neutral,479,2,6,18,"00:08:11,782","00:08:14,576"
4722,Yeah!,Dana,negative,479,10,6,18,"0:08:41,743","0:08:42,439"
4727,Like your sweater.,Tag,neutral,480,2,8,2,"0:21:24,283","0:21:25,284"
4750,Oh my God! How did you get back here?!,Phoebe,negative,482,0,7,12,"00:18:01,830","00:18:05,583"
4758,"Please reattach this, it’s against the law to disconnect them.",The Fireman,neutral,482,8,7,12,"00:18:39,910","00:18:42,912"
4767,"Reset button, reset button, where is there a reset button?",Phoebe,neutral,482,14,7,12,"00:19:02,391","00:19:08,396"
4774,"Hey, you know our phone's not working?",Joey,negative,483,3,1,20,"00:16:37,246","00:16:38,788"
4783,Radiator.,Phoebe,neutral,483,12,1,20,"00:17:14,992","00:17:16,200"
4790,"Hey, this-  Heyy...",Ross,positive,485,0,1,1,"00:13:13,000","00:13:38,775"
4795,"""Benefits lapsed.""",Chandler,neutral,486,4,6,4,"00:06:24,008","00:06:27,219"
4796,Hmm that’s weird. I don’t remember being in a move called benefits lapsed.,Joey,neutral,486,5,6,4,"00:06:24,008","00:06:30,430"
4799,All right.,Chandler,neutral,486,8,6,4,"00:06:38,731","00:06:40,107"
4815,No.,Chandler,neutral,488,3,5,2,"00:22:00,110","00:22:01,569"
4816,That's all right.,Monica,neutral,488,4,5,2,"0:22:01,737","0:22:02,405"
4827,...love you.,Monica,positive,492,0,1,22,"00:19:23,036","00:19:24,245"
4862,"No you guys, I am not getting in a car with him, you’ll have to think of something else.",Rachel,negative,496,12,3,17,"00:14:19,692","00:14:24,904"
4879,We’re gonna find love!,Rachel,positive,499,0,6,25,"0:04:40,446","0:04:42,168"
4903,Good morning.,Tag,neutral,501,0,7,5,"00:11:32,483","00:11:34,401"
4905,Oh yeah! We went to the Knicks game.,Tag,positive,501,2,7,5,"00:11:37,530","00:11:39,197"
4913,A little.,Tag,neutral,501,10,7,5,"0:12:14,650","0:12:15,362"
4939,I think so too.,Monica,neutral,503,15,5,24,"00:12:50,603","00:12:52,187"
4945,You can keep those pants by the way.,Rachel,neutral,504,5,8,9,"00:21:24,366","00:21:25,908"
4975,"I can’t, you’re a totally different person to me now.",Rachel,negative,506,5,3,16,"00:21:08,684","00:21:11,852"
4985,"No, cause I made lasagne.",Monica,neutral,507,3,1,22,"0:05:34,876","0:05:36,694"
4990,"I mean, why all the sudden are you so... Oh.",Rachel,positive,507,8,1,22,"00:05:47,513","00:05:51,391"
4992,Could tonight be the Night?,Rachel,positive,507,10,1,22,"00:05:57,148","00:05:59,941"
5020,COME ON!!!!,Raymond,negative,508,20,5,18,"00:17:35,846","00:17:36,846"
5022,"No! No! I-I can do it one more time! See? Look!  Hmm, noodle soup. Damnit!",Joey,negative,508,22,5,18,"00:17:44,354","00:17:49,400"
5033,Y’know what?,Rachel,neutral,509,9,8,23,"0:01:45,969","0:01:46,861"
5044,"The blond woman is my ex-wife, and the woman touching her is her... close, personal friend.",Ross,neutral,510,2,1,14,"00:11:56,590","00:12:04,472"
5051,"Oh, what? What-what?",Ross,negative,511,3,1,19,"00:10:11,193","00:10:12,235"
5056,Hi!,Phoebe,positive,512,1,7,15,"0:09:39,912","0:09:40,330"
5058,Good.,Phoebe,neutral,512,3,7,15,"0:09:41,462","0:09:41,782"
5082,"You don't seem to understand. See, I was Dr. Drake Remoray.",Joey,neutral,514,6,5,4,"00:07:44,297","00:07:48,425"
5085,Hey Gunther. Hi.  I mean you’re going out on a date with the noisy guy upstairs?,Monica,negative,515,1,3,11,"00:05:59,525","00:06:04,696"
5099,Oh I’m sorry! Do you need a break?,Chandler,negative,516,2,8,10,"0:17:13,741","0:17:13,884"
5100,My boots in tan! Hey! Can you get a little closer so I can see the price?,Monica,positive,516,3,8,10,"00:17:14,992","00:17:18,161"
5111,"Well, why don’t you tell me what you’re supposed to be!",Joey,negative,518,1,3,19,"00:19:20,033","00:19:22,994"
5141,"Honey, we have to go. Our reservations are at 8:00.",Rachel,neutral,522,3,7,18,"00:21:27,828","00:21:33,499"
5192,I think he's shy.,Monica,neutral,525,6,1,4,"0:16:59,435","0:17:00,478"
5193,Yeah?,Phoebe,positive,525,7,1,4,"0:17:00,478","0:17:01,869"
5195,"Hi! Hi, I’m Ross, you don’t know me, but I’m a big, big fan of yours. I mean,",Ross,positive,526,0,3,5,"00:19:49,396","00:19:56,944"
5206,May I see it?,Isabella,neutral,526,10,3,5,"0:20:50,797","0:20:52,059"
5216,...because I have a list of five goofy coffee house guys and yesterday I bumped you for that guy over there.,Isabella,neutral,526,19,3,5,"00:21:19,444","00:21:30,371"
5235,"Ross, I am telling you that she is using you to get back at me!",Rachel,negative,529,3,6,14,"00:18:00,704","00:18:06,000"
5263,"Wh-which is why I ah,  ahh,  okay.",Phoebe Sr,neutral,530,20,3,25,"00:20:04,620","00:20:14,629"
5268,Come again?,Ross,negative,531,1,6,4,"0:20:07,164","0:20:07,976"
5280,So if you just give me another chance to make a good impression,Ross,neutral,531,13,6,4,"00:20:55,462","00:20:58,839"
5293,"It's like ... like she's the princess and I'm the stable    boy ... Why are you doing this, huh?",Joey,negative,532,10,9,12,"00:11:07,291","00:11:17,092"
5304,Let’s roll!,Rachel,positive,533,5,7,9,"0:16:34,962","0:16:35,840"
5315,"Let me ask you something, how come when I call your computer support line, I have to wait an hour and a half?",Hoshi,negative,535,2,3,24,"00:07:03,840","00:07:09,678"
5322,They had to have that specially made?!,Rachel,negative,536,5,4,2,"0:07:38,834","0:07:38,972"
5327,I-I owe her this.,Monica,neutral,536,10,4,2,"0:08:06,277","0:08:07,795"
5333,"Hey! Tall guy! Hey, listen, I wanted to talk to you about that girl that you’re dancing with.",Joey,neutral,537,0,6,10,"00:12:04,432","00:12:15,483"
5334,"Yeah, yeah, okay.",Joey,neutral,537,1,6,10,"00:12:16,193","00:12:19,154"
5355,Thank you!,Rachel,positive,539,4,9,12,"00:01:23,917","00:01:25,751"
5363,"I know, but, I made a huge mistake. I never should have broken up with her. Will you help me? Please?",Joey,negative,540,5,1,5,"00:06:49,200","00:06:59,668"
5368,Carol our sex life is—it’s just not working,Ross,negative,541,4,6,15,"0:14:09,516","0:14:12,172"
5379,Like what?,Carol,positive,541,13,6,15,"00:14:34,373","00:14:38,042"
5390,That was you?!,Monica,negative,542,3,3,21,"0:00:10,889","0:00:11,351"
5450,I know,Monica,neutral,548,1,9,23,"00:27:35,904","00:27:37,738"
5459,"Walls are pretty thin, guys!",Ross,negative,548,10,9,23,"00:27:59,928","00:28:02,388"
5487,"Okay, here comes another camera.",Monica,neutral,553,0,6,10,"00:08:20,666","00:08:21,708"
5504,No-no-no-no-no we came together!,Joey,positive,553,17,6,10,"00:09:21,143","00:09:23,645"
5506,"No-no hey buddy, please let me dance with that girl, I really like her and I think I have a shot.",Joey,negative,553,19,6,10,"00:09:31,404","00:09:36,032"
